Marketing and Consumer Studies (MCS)	https://calendar.uoguelph.ca/undergraduate-calendar/course-descriptions/mcs/
Mathematics (MATH)	https://calendar.uoguelph.ca/undergraduate-calendar/course-descriptions/math/
Microbiology (MICR)	https://calendar.uoguelph.ca/undergraduate-calendar/course-descriptions/micr/
Molecular and Cellular Biology (MCB)	https://calendar.uoguelph.ca/undergraduate-calendar/course-descriptions/mcb/
Molecular Biology and Genetics (MBG)	https://calendar.uoguelph.ca/undergraduate-calendar/course-descriptions/mbg/
Music (MUSC)	https://calendar.uoguelph.ca/undergraduate-calendar/course-descriptions/musc/
Nanoscience (NANO)	https://calendar.uoguelph.ca/undergraduate-calendar/course-descriptions/nano/
Neuroscience (NEUR)	https://calendar.uoguelph.ca/undergraduate-calendar/course-descriptions/neur/
Nutrition (NUTR)	https://calendar.uoguelph.ca/undergraduate-calendar/course-descriptions/nutr/
One Health (ONEH)	https://calendar.uoguelph.ca/undergraduate-calendar/course-descriptions/oneh/
Organic Agriculture (OAGR)	https://calendar.uoguelph.ca/undergraduate-calendar/course-descriptions/oagr/
Pathology (PATH)	https://calendar.uoguelph.ca/undergraduate-calendar/course-descriptions/path/
Philosophy (PHIL)	https://calendar.uoguelph.ca/undergraduate-calendar/course-descriptions/phil/
Physics (PHYS)	https://calendar.uoguelph.ca/undergraduate-calendar/course-descriptions/phys/
Plant Biology (PBIO)	https://calendar.uoguelph.ca/undergraduate-calendar/course-descriptions/pbio/
Political Science (POLS)	https://calendar.uoguelph.ca/undergraduate-calendar/course-descriptions/pols/
Population Medicine (POPM)	https://calendar.uoguelph.ca/undergraduate-calendar/course-descriptions/popm/
Portuguese (PORT)	https://calendar.uoguelph.ca/undergraduate-calendar/course-descriptions/port/
Psychology (PSYC)	https://calendar.uoguelph.ca/undergraduate-calendar/course-descriptions/psyc/
Real Estate and Housing (REAL)	https://calendar.uoguelph.ca/undergraduate-calendar/course-descriptions/real/
Sociology (SOC)	https://calendar.uoguelph.ca/undergraduate-calendar/course-descriptions/soc/
Sociology and Anthropology (SOAN)	https://calendar.uoguelph.ca/undergraduate-calendar/course-descriptions/soan/
Spanish (SPAN)	https://calendar.uoguelph.ca/undergraduate-calendar/course-descriptions/span/
Statistics (STAT)	https://calendar.uoguelph.ca/undergraduate-calendar/course-descriptions/stat/
Studio Art (SART)	https://calendar.uoguelph.ca/undergraduate-calendar/course-descriptions/sart/
Theatre Studies (THST)	https://calendar.uoguelph.ca/undergraduate-calendar/course-descriptions/thst/
Toxicology (TOX)	https://calendar.uoguelph.ca/undergraduate-calendar/course-descriptions/tox/
Veterinary Medicine (VETM)	https://calendar.uoguelph.ca/undergraduate-calendar/course-descriptions/vetm/
Women's Studies (WMST)	https://calendar.uoguelph.ca/undergraduate-calendar/course-descriptions/wmst/
Zoology (ZOO)	https://calendar.uoguelph.ca/undergraduate-calendar/course-descriptions/zoo/
